objectid,filename,youtubeid,vimeoid,title,creator,date,description,subject,location,latitude,longitude,source,identifier,type,format,language,rights,rightsstatement
coll001,TO-22-1,,,Mica S. vs SU 1,"Metoyer, Alexis",2022-10-29,"Pools (Indiv.), Women Sabre",College sports; Fencing; Swarthmore College ,"Philadelphia, Pennsylvania ",,,,TO-22-1,Image;MovingImage,video/quicktime,eng,,
coll002,USACFC-22-4,,,Arn S. vs Stony Brook 3,"Metoyer, Alexis",2022-04-09,"Direct Elimination (Teams), Men Epee",College sports; Fencing; Swarthmore College ,"Providence, Rhode Island",,,,USACFC-22-4,Image;MovingImage,video/quicktime,eng,,
coll003,BWCFC-NvC-22-6,BWCFC-NvC-22-6,BWCFC-NvC-22-6,BWCFC-NvC-22-6,BWCFC-NvC-22-6,BWCFC-NvC-22-6,BWCFC-NvC-22-6,BWCFC-NvC-22-6,BWCFC-NvC-22-6,BWCFC-NvC-22-6,BWCFC-NvC-22-6,BWCFC-NvC-22-6,BWCFC-NvC-22-6,BWCFC-NvC-22-6,BWCFC-NvC-22-6,BWCFC-NvC-22-6,,
coll004,USACFC-23-2,,,Will L. vs UMASS 1,"S, Mica",2023-04-01,"Direct Elimination (Teams), Men Sabre",College sports; Fencing; Swarthmore College ,"Fort Wayne, Indiana",,,,USACFC-23-2,Image;MovingImage,video/quicktime,eng,,
coll005,BWCFCC-23-3,,,Will L. vs GMU 1,"L, Elly",2023-04-23,"Pools (Indiv.), Men Sabre",College sports; Fencing; Swarthmore College ,"Baltimore, Maryland",,,,BWCFCC-23-3,Image;MovingImage,video/quicktime,eng,,
coll006,,,,,,,,,,,,,,,,,,
coll007,,,,,,,,,,,,,,,,,,
coll008,,,,,,,,,,,,,,,,,,
coll009,,,,,,,,,,,,,,,,,,
coll010,,,,,,,,,,,,,,,,,,
coll011,,,,,,,,,,,,,,,,,,
coll012,,,,,,,,,,,,,,,,,,
coll013,,,,,,,,,,,,,,,,,,
